259,El Breal,4535,Salta
260,El Brealito,4419,Salta
261,El Brete,4126,Salta
262,El Candado,4415,Salta
263,El Carancho,4421,Salta
264,El Carmen,4449,Salta
265,El Carmen,4421,Salta
266,El Carmen,4419,Salta
267,El Carmen,4530,Salta
268,El Carmen,4405,Salta
269,El Carril,4421,Salta
270,El Carrizal,4446,Salta
271,El Ceibal,4430,Salta
272,El Ceibal,4430,Salta
273,El Ceibal,4193,Salta
274,El Chorro,4560,Salta
275,El Churcal,4419,Salta
276,El Cienego,4554,Salta
277,El Colegio,4403,Salta
278,El Colgado,4430,Salta
279,El Condor,4193,Salta
280,El Corral Viejo,4198,Salta
281,El Corralito,4405,Salta
282,El Creston,4425,Salta
283,El Cuchillo,4550,Salta
284,El Cuibal,4126,Salta
285,El Cuinco Pozo Del,4542,Salta
286,El Desmonte,4538,Salta
287,El Destierro,4535,Salta
288,El Dorado,4405,Salta
289,El Encon,4407,Salta
290,El Espinillo,4554,Salta
291,El Espinillo,4430,Salta
292,El Estanque,4434,Salta
293,El Fraile,4425,Salta
294,El Gallinato,4401,Salta
295,El Galpon Est Foguista J F,4444,Salta
296,El Golgota,4409,Salta
297,El Guanaco,4440,Salta
298,El Huaico,4403,Salta
299,El Jaravi,4446,Salta
300,El Jardin,4126,Salta
301,El Leoncito,4421,Salta
302,El Libano,4434,Salta
303,El Manantial,4449,Salta
304,El Manzano,4405,Salta
305,El Maray,4415,Salta
306,El Mirador,4535,Salta
307,El Mistol,4534,Salta
308,El Molino,4415,Salta
309,El Mollar,4421,Salta
310,El Mollar,4405,Salta
311,El Molle,4530,Salta
312,El Moranillo,4430,Salta
313,El Moyar,4423,Salta
314,El Naranjo,4434,Salta
315,El Naranjo,4126,Salta
316,El Naranjo,4191,Salta
317,El Nogalar,4415,Salta
318,El Obelisco,4425,Salta
319,El Ojito,4198,Salta
320,El Ojo,4193,Salta
321,El Oso,4434,Salta
322,El Pacara,4446,Salta
323,El Parque,4444,Salta
324,El Pericote,4449,Salta
325,El Pertigo,4554,Salta
326,El Portezuelo,4190,Salta
327,El Porvenir,4452,Salta
328,El Porvenir,4405,Salta
329,El Potrero,4415,Salta
330,El Potrero,4415,Salta
331,El Potrero,4193,Salta
332,El Potrero,4405,Salta
333,El Potrero De Diaz,4421,Salta
334,El Prado,4400,Salta
335,El Prado,4432,Salta
336,El Pucara,4405,Salta
337,El Puestito,4198,Salta
338,El Puyil,4405,Salta
339,El Quebrachal,4452,Salta
340,El Quemado,4423,Salta
341,El Quemado,4530,Salta
342,El Quemado,4198,Salta
343,El Quimilar Carboncito,4534,Salta
344,El Recreo,4427,Salta
345,El Retiro,4550,Salta
346,El Rey,4434,Salta
347,El Rodeo,4415,Salta
348,El Rodeo,4415,Salta
349,El Rosal,4405,Salta
350,El Salto,4434,Salta
351,El Sapo,4425,Salta
352,El Sauce,4432,Salta
353,El Sauzal,4440,Salta
354,El Simbolar,4423,Salta
355,El Simbolar,4421,Salta
356,El Soldadito,4535,Salta
357,El Sunchal,4415,Salta
358,El Sunchal,4126,Salta
359,El Sunchal,4430,Salta
360,El Tabacal,4533,Salta
361,El Tala Est R De Los Llanos,4126,Salta
362,El Talar,4554,Salta
363,El Tandil,4198,Salta
364,El Tapial,4633,Salta
365,El Tartagal,4554,Salta
366,El Timbo,4405,Salta
367,El Tipal,4423,Salta
368,El Toro,4409,Salta
369,El Trigal,4415,Salta
370,El Tunal,4446,Salta
371,El Tunalito,4535,Salta
372,El Vallecito,4440,Salta
373,El Vencido,4452,Salta
374,El Yacon,4535,Salta
375,El Yeso,4449,Salta
376,El Zanjon,4434,Salta
377,El Zapallar,4430,Salta
378,El Zapallar,4430,Salta
379,El Zapallo,4534,Salta
380,Eltunal,4407,Salta
381,Embarcacion,4550,Salta
382,Emboscada,4554,Salta
383,Encrucijada,5231,Salta
384,Encrucijada De Tastil,4409,Salta
385,Entre Rios,4430,Salta
386,Escalchi,4417,Salta
387,Escoipe,4421,Salta
388,Espinillo,4449,Salta
389,Esquina,4449,Salta
390,Esquina,4419,Salta
391,Estacion Cachiñal,4411,Salta
392,Estacion Zuviria,4421,Salta
393,Estancia Vieja,4434,Salta
394,Esteban De Urizar,4537,Salta
395,Esteco Embarcadero Fcgb,4440,Salta
396,Estela,4400,Salta
397,Federacion,4198,Salta
398,Finca Armonia,4444,Salta
399,Finca Belgrano,4415,Salta
400,Finca Camino A Colon,4403,Salta
401,Finca Camino Vallisios,4403,Salta
402,Finca Colon,4403,Salta
403,Finca El Carmen,4425,Salta
404,Finca El Carmen,4425,Salta
405,Finca El Colegio,4403,Salta
406,Finca La China,4434,Salta
407,Finca La Rosa,4427,Salta
408,Finca La Toma,4538,Salta
409,Finca Mision Zenta,4448,Salta
410,Finca Mision Zenta,4530,Salta
411,Finca Rocca,4444,Salta
412,Finca Santiago,4633,Salta
413,Floresta,4452,Salta
414,Foguista J F Juarez,4444,Salta
415,Fortin Belgrano,4530,Salta
416,Fortin Frias,4535,Salta
417,Frontera 4,4560,Salta
418,Frontera 5,4560,Salta
419,Frontera Tres,4560,Salta
420,Fuerte Alto,4417,Salta
421,Fuerte El Pito,4452,Salta
422,Fuerte Quemado,4430,Salta
423,Gallinato,4432,Salta
424,Gaona,4452,Salta
425,General Alvarado,4401,Salta
426,General Ballivian,4552,Salta
427,General Enrique Mosconi,4562,Salta
428,General Guemes,4430,Salta
429,General Pizarro,4449,Salta
430,Gobernador Manuel Sola,4409,Salta
431,Gobernador Saravia,4409,Salta
432,Gonzalez,4434,Salta
433,Grandes Pastos,4411,Salta
434,Guachipas,4425,Salta
435,Gualfin,4419,Salta
436,Gualiana,4421,Salta
437,Guamachi,4560,Salta
438,Hickman,4554,Salta
439,Higueras,4633,Salta
440,Hipolito Yrigoyen,4533,Salta
441,Hito 1,4561,Salta
442,Salar De Hombre Muerto,4419,Salta
443,Horcones,4198,Salta
444,Hornillos,4651,Salta
445,Hosteria Juramento,4440,Salta
446,Huaicondo,4409,Salta
447,Huayra Huasy,4415,Salta
448,Huerta,4651,Salta
449,Huguerillas,4400,Salta
450,Humaita,4401,Salta
451,Humanas,4419,Salta
452,Incachuli,4413,Salta
453,Incahuasi,4409,Salta
454,Incamayo,4409,Salta
455,Ingeniero Maury,4409,Salta
456,Ingenio San Isidro,4432,Salta
457,Ingenio San Martin,4533,Salta
458,Iruya,4633,Salta
459,Isla De Cañas,4531,Salta
460,Isla De La Candelaria,4403,Salta
461,Isonza,4427,Salta
462,Ituyuro,4566,Salta
463,Jacimana,4427,Salta
464,Jacimana,4427,Salta
465,Jeronimo Matorras,4537,Salta
466,Joaquin V Gonzalez,4448,Salta
467,Juncal,4411,Salta
468,Juncalito,4413,Salta
469,Juntas De San Antonio,4530,Salta
470,Juramento,4434,Salta
471,Kilometro 1088,4448,Salta
472,Kilometro 1094,4430,Salta
473,Kilometro 1102,4432,Salta
474,Kilometro 1104,4449,Salta
475,Kilometro 1125,4401,Salta
